year,team,ishome,week,pts,ptsallowed
2010,DAL,0,9,7,45
2010,CIN,1,9,21,27
2010,PIT,0,9,27,21
2010,ATL,1,10,26,21
2010,BAL,0,10,21,26
2010,MIA,1,10,29,17
2010,TEN,0,10,17,29
2010,CLE,1,10,20,26
2010,NYJ,0,10,26,20
2010,IND,1,10,23,17
2010,CIN,0,10,17,23
2010,JAC,1,10,31,24
2010,HOU,0,10,24,31
2010,CHI,1,10,27,13
2010,MIN,0,10,13,27
2010,TB,1,10,31,16
2010,CAR,0,10,16,31
2010,BUF,1,10,14,12
2010,DET,0,10,12,14
2010,DEN,1,10,49,29
2010,KC,0,10,29,49
2010,NYG,1,10,20,33
2010,DAL,0,10,33,20
2010,ARI,1,10,18,36
2010,SEA,0,10,36,18
2010,SF,1,10,23,20
2010,STL,0,10,20,23
2010,PIT,1,10,26,39
2010,NE,0,10,39,26
2010,WAS,1,10,28,59
2010,PHI,0,10,59,28
2010,MIA,1,11,0,16
2010,CHI,0,11,16,0
2010,CAR,1,11,13,37
2010,BAL,0,11,37,13
2010,NYJ,1,11,30,27
2010,HOU,0,11,27,30
2010,CIN,1,11,31,49
2010,BUF,0,11,49,31
2010,PIT,1,11,35,3
2010,OAK,0,11,3,35
2010,JAC,1,11,24,20
2010,CLE,0,11,20,24
2010,DAL,1,11,35,19
2010,DET,0,11,19,35
2010,MIN,1,11,3,31
2010,GB,0,11,31,3
2010,NO,1,11,34,19
2010,SEA,0,11,19,34
2010,TEN,1,11,16,19
2010,WAS,0,11,19,16
2010,KC,1,11,31,13
2010,ARI,0,11,13,31
2010,STL,1,11,17,34
2010,ATL,0,11,34,17
2010,SF,1,11,0,21
2010,TB,0,11,21,0
2010,NE,1,11,31,28
2010,IND,0,11,28,31
2010,PHI,1,11,27,17
2010,NYG,0,11,17,27
2010,SD,1,11,35,14
2010,DEN,0,11,14,35
2010,DET,1,12,24,45
2010,NE,0,12,45,24
2010,DAL,1,12,27,30
2010,NO,0,12,30,27
2010,NYJ,1,12,26,10
2010,CIN,0,12,10,26
2010,NYG,1,12,24,20
2010,JAC,0,12,20,24
2010,BUF,1,12,16,19
2010,PIT,0,12,19,16
2010,HOU,1,12,20,0
2010,TEN,0,12,0,20
2010,WAS,1,12,13,17
2010,MIN,0,12,17,13
2010,CHI,1,12,31,26
2010,PHI,0,12,26,31
2010,ATL,1,12,20,17
2010,GB,0,12,17,20
2010,BAL,1,12,17,10
2010,TB,0,12,10,17
2010,CLE,1,12,24,23
2010,CAR,0,12,23,24
2010,SEA,1,12,24,42
2010,KC,0,12,42,24
2010,OAK,1,12,17,33
2010,MIA,0,12,33,17
2010,DEN,1,12,33,36
2010,STL,0,12,36,33
2010,IND,1,12,14,36
2010,SD,0,12,36,14
2010,ARI,1,12,6,27
2010,SF,0,12,27,6
2010,PHI,1,13,34,24
2010,HOU,0,13,24,34
2010,MIN,1,13,38,14
2010,BUF,0,13,14,38
2010,MIA,1,13,10,13
2010,CLE,0,13,13,10
2010,TEN,1,13,6,17
2010,JAC,0,13,17,6
2010,KC,1,13,10,6
2010,DEN,0,13,6,10
2010,NYG,1,13,31,7
2010,WAS,0,13,7,31
2010,DET,1,13,20,24
2010,CHI,0,13,24,20
2010,GB,1,13,34,16
2010,SF,0,13,16,34
2010,TB,1,13,24,28
2010,ATL,0,13,28,24
2010,CIN,1,13,30,34
2010,NO,0,13,34,30
2010,SD,1,13,13,28
2010,OAK,0,13,28,13
2010,IND,1,13,35,38
2010,DAL,0,13,38,35
2010,ARI,1,13,6,19
2010,STL,0,13,19,6
2010,SEA,1,13,31,14
2010,CAR,0,13,14,31
2010,BAL,1,13,10,13
2010,PIT,0,13,13,10
2010,NE,1,13,45,3
2010,NYJ,0,13,3,45
2010,TEN,1,14,28,30
2010,IND,0,14,30,28
2010,CHI,1,14,7,36
2010,NE,0,14,36,7
2010,BUF,1,14,13,6
2010,CLE,0,14,6,13
2010,PIT,1,14,23,7
2010,CIN,0,14,7,23
2010,JAC,1,14,38,31
2010,OAK,0,14,31,38
2010,WAS,1,14,16,17
2010,TB,0,14,17,16
2010,DET,1,14,7,3
2010,GB,0,14,3,7
2010,CAR,1,14,10,31
2010,ATL,0,14,31,10
2010,NO,1,14,31,13
2010,STL,0,14,13,31
2010,SF,1,14,40,21
2010,SEA,0,14,21,40
2010,NYJ,1,14,6,10
2010,MIA,0,14,10,6
2010,ARI,1,14,43,13
2010,DEN,0,14,13,43
2010,SD,1,14,31,0
2010,KC,0,14,0,31
2010,DAL,1,14,27,30
2010,PHI,0,14,30,27
2010,HOU,1,14,28,34
2010,BAL,0,14,34,28
2010,MIN,1,14,3,21
2010,NYG,0,14,21,3
2010,SD,1,15,34,7
2010,SF,0,15,7,34
2010,STL,1,15,13,27
2010,KC,0,15,27,13
2010,MIA,1,15,14,17
2010,BUF,0,15,17,14
2010,CIN,1,15,19,17
2010,CLE,0,15,17,19
2010,IND,1,15,34,24
2010,JAC,0,15,24,34
2010,TEN,1,15,31,17
2010,HOU,0,15,17,31
2010,DAL,1,15,33,30
2010,WAS,0,15,30,33
2010,NYG,1,15,31,38
2010,PHI,0,15,38,31
2010,CAR,1,15,19,12
2010,ARI,0,15,12,19
2010,TB,1,15,20,23
2010,DET,0,15,23,20
2010,BAL,1,15,30,24
2010,NO,0,15,24,30
2010,SEA,1,15,18,34
2010,ATL,0,15,34,18
2010,PIT,1,15,17,22
2010,NYJ,0,15,22,17
2010,OAK,1,15,39,23
2010,DEN,0,15,23,39
2010,NE,1,15,31,27
2010,GB,0,15,27,31
2010,MIN,1,15,14,40
2010,CHI,0,15,40,14
2010,PIT,1,16,27,3
2010,CAR,0,16,3,27
2010,ARI,1,16,27,26
2010,DAL,0,16,26,27
2010,CHI,1,16,38,34
2010,NYJ,0,16,34,38
2010,BUF,1,16,3,34
2010,NE,0,16,34,3
2010,CLE,1,16,10,20
2010,BAL,0,16,20,10
2010,KC,1,16,34,14
2010,TEN,0,16,14,34
2010,TB,1,16,38,15
2010,SEA,0,16,15,38
2010,STL,1,16,25,17
2010,SF,0,16,17,25
2010,MIA,1,16,27,34
2010,DET,0,16,34,27
2010,JAC,1,16,17,20
2010,WAS,0,16,20,17
2010,DEN,1,16,24,23
2010,HOU,0,16,23,24
2010,OAK,1,16,26,31
2010,IND,0,16,31,26
2010,GB,1,16,45,17
2010,NYG,0,16,17,45
2010,CIN,1,16,34,20
2010,SD,0,16,20,34
2010,ATL,1,16,14,17
2010,NO,0,16,17,14
2010,PHI,1,16,14,24
2010,MIN,0,16,24,14
2010,NE,1,17,38,7
2010,MIA,0,17,7,38
2010,NYJ,1,17,38,7
2010,BUF,0,17,7,38
2010,BAL,1,17,13,7
2010,CIN,0,17,7,13
2010,CLE,1,17,9,41
2010,PIT,0,17,41,9
2010,HOU,1,17,34,17
2010,JAC,0,17,17,34
2010,IND,1,17,23,20
2010,TEN,0,17,20,23
2010,KC,1,17,10,31
2010,OAK,0,17,31,10
2010,PHI,1,17,13,14
2010,DAL,0,17,14,13
2010,WAS,1,17,14,17
2010,NYG,0,17,17,14
2010,DET,1,17,20,13
2010,MIN,0,17,13,20
2010,GB,1,17,10,3
2010,CHI,0,17,3,10
2010,ATL,1,17,31,10
2010,CAR,0,17,10,31
2010,NO,1,17,13,23
2010,TB,0,17,23,13
2010,DEN,1,17,28,33
2010,SD,0,17,33,28
2010,SF,1,17,38,7
2010,ARI,0,17,7,38
2010,SEA,1,17,16,6
2010,STL,0,17,6,16
